id_venda,data,cliente,cidade,regiao,vendedor,categoria,produto,quantidade,preco_unitario,custo_unitario,desconto,forma_pagamento,status
1029,2026-02-09,Fernanda Alves,Sao Paulo,Sudeste,Carlos,Notebook,Notebook Pro 14,1,4500,3200,0.50,Cartao,Concluida
1030,2026-02-10,Marcos Pereira,Curitiba,Sul,Daniel,Monitor,Monitor 24,1,1200,750,0.05,Pix,Concluida
1031,2026-02-11,Beatriz Rocha,Salvador,Nordeste,Ana,Teclado,Teclado Mecânico,2,450,220,0.05,Cartao,Concluida
1032,2026-02-12,Gabriel Martins,Porto Alegre,Sul,Carlos,Mouse,Mouse Gamer,20,180,70,0.40,Pix,Concluida
1033,2026-02-13,Carolina Mendes,Recife,Nordeste,Bruno,Smartphone,Smartphone Pro,1,5200,3700,0.10,Cartao,Concluida
1034,2026-02-14,Thiago Ferreira,Salvador,Nordeste,Ana,Notebook,Notebook Air 13,1,3800,2900,0.05,Pix,Concluida
1035,2026-02-15,Renata Gomes,Sao Paulo,Sudeste,Carlos,Cadeira,Cadeira Gamer,2,1300,800,0.05,Cartao,Concluida
1036,2026-02-16,Diego Castro,Rio de Janeiro,Sudeste,Daniel,Monitor,Monitor 27 4K,1,2100,1400,0.05,Pix,Concluida
1037,2026-02-17,Patricia Ramos,Salvador,Nordeste,Ana,Smartphone,Smartphone X,4,2800,1900,0.60,Cartao,Concluida
1038,2026-02-18,Andre Barbosa,Curitiba,Sul,Daniel,Mouse,Mouse Gamer,5,180,70,0.05,Pix,Concluida
1039,2026-02-19,Camila Martins,Recife,Nordeste,Bruno,Notebook,Notebook Pro 14,1,4500,3200,0.10,Cartao,Concluida
1040,2026-02-20,Roberto Dias,Salvador,Nordeste,Ana,Monitor,Monitor 24,3,1200,750,0.05,Pix,Concluida
